pub_id,title,type,bibtex,author,editor,isbn,url,date,urldate,booktitle,issuetitle,journal,volume,number,pages,publisher,address,edition,chapter,institution,organization,school,series,crossref,abstract,howpublished,key,techtype,comment,note,image_url,doi,is_isbn,rel_page,status,added,modified,use_capabilites,import_id
1025,5G K-SimLink: 5G NSA 를 위한 개방형 모듈화 링크 레벨 시뮬레이터 개발,article,sep2019bb,"정지훈, 박상우, 왕우완, 박기승, 유승민, 임승찬, 조명식, 하대한, 강준혁, 박현철, 성영철",,1226-4717,,2019-09-16,0000-00-00,,,한국통신학회논문지,44,3,602-608,,,,,,,,,,,,,,,,,,0,0,published,2019-09-16 18:53:42,2019-09-16 18:53:42,,0
995,5G New Radio (NR) Polar 부호의 설계 방법 소개 및 성능 평가 ,article,송새한2018b,"송새한, 임승찬, 박현철",,,,2018-08-09,0000-00-00,,,한국통신학회논문지,43,7,1065-107,,,,,,,,,,,,,,,,,10.7840/kics.2018.43.7.1065 ,1,0,published,2018-08-17 11:44:18,2018-08-17 11:44:35,,
993,단방향 복호 후 전송 중계기 네트워크에서 전력 및 시간 동시 분배 방법,article,심영규2018b,"심영규, 박현철",,1226-4717,,2018-06-11,0000-00-00,,,한국통신학회 논문지,43,6,945-951,,,,,,,,,,,,,,,,,10.7840/kics.2018.43.6.945,0,0,published,2018-07-25 10:46:07,2018-07-25 11:36:02,,
978,QAM-FBMC 시스템의 실용적 프로토타입 필터 및 간섭 제어 수신기 설계,article,한형식2018,"한형식, 김희수, 박현철",,1226-4717,https://doi.org/10.7840/kics.2018.43.4.655,2018-04-30,0000-00-00,,,한국통신학회 눈문지,43,4,655-666,,,,,,,,,,"기존의 무선 통신 시스템에서 사용되어 왔던 CP-OFDM은 주파수 제한 특성이 나쁜 단점을 가지고 있으며, 이를 보완하기 위하여 new waveform 으로 불리는 다양한 다중 반송파 기술이 연구되고 있다. 그 중 하나로, 주파수 도메인에서 좋은 지역화 특성과 주파수 효율을 가진 QAM-FBMC 기술이 고려되고 있다. 이 논문에서는, QAM-FBMC에서 파형의 특성 및 성능을 결정하는 프로토타입 필터의 기존 설계 기준을 분석하고, 시간 도메인에서 좋은 특성을 가질 수 있고 실용적으로 활용될 수 있는 필터를 위한 새로운 설계 기준을 제안한다. 또한, 설계된 필터의 특성을 활용하여 QAM-FBMC에서 발생하는 내재 간섭을 복잡한 신호 처리 없이 처리할 수 있는 간섭 제어 수신기를 제안한다. 마지막으로 시뮬레이션을 통하여 설계된 QAM-FBMC 필터가 기존의 필터보다 더 좋은
성능 지표를 보임을 확인한다.",,,,,,,,1,0,published,2018-03-26 13:23:41,2018-07-25 11:38:49,,
979,분산 부호화 캐싱 시스템에 대한 최적의 파일 저장 기법,article,이원석2018,"이원석, 임승찬, 박현철",,1226-4717,,2018-03-19,0000-00-00,,,한국통신학회 논문지,43,3,506-514,,,,,,,,,,"본 논문에서는 채널 부호를 적용한 분산 캐싱 시스템에 대하여 최적의 파일 저장 기법을 연구한다. 기존 연구에서 고려하였던 MDS (maximum distance separable) 부호가 적용된 무선 캐싱 시스템을 일반화하여 상대적으로 더욱 실용적인 파운틴(fountain) 류 부호의 적용을 고려한다. 채널 부호의 복호 실패 확률을 반영하여 시스템의 서비스 실패 확률을 정의하고 이에 대한 하한 값을 분석한다. 또한, 분석된 하한 값에 기반하여 시스템의 서비스 실패 확률을 최소화하는 파일 분산 저장 알고리즘을 제안하고 다양한 시스템 파라미터에 대한 모의 실험을 수행한다. 제안된 파일 저장 기법은 기존 저장 기법의 서비스 실패 확률을 크게 개선 가능할 뿐만 아니라 분석된 하한 값에 매우 근접한 성능을 가짐을 모의 실험을 통하여 검증하였다.",,,,,,,,1,0,published,2018-03-26 13:25:28,2018-07-25 11:37:59,,
980,증폭 후 전송을 사용하는 단방향 전이중 중계기 네트워크를 위한 최적 전력 분배 기법,article,심영규2018,"심영규, 박현철",,1226-4717,,2018-03-13,0000-00-00,,,한국통신학회 논문지,43,5,801-807,,,,,,,,,,"본 논문은 신호원, 중계기, 목적지로 구성되어 있고 증폭 후 전송을 사용하는 단방향 전이중 중계기 네트워크를 고려한다. 단방향 전이중 중계기 네트워크에서는 중계기의 자기 간섭 채널 추정 오차가 있고 아날로그-디지털 변환기의 동작 범위 제한으로 인해서 자기 간섭 신호가 완벽하게 제거 되지 않고 남아 있게 된다. 남아 있는 자기 간섭 신호로 인해서 현재 전송 시간 슬롯의 전송률은 이전 전송 시간 슬롯에 중계기가 전송한 전력에도 영향을 받는다는 특징이 있다. 본 논문에서는 전송 전력의 합이 제한되어 있는 경우 이전 전송 시간 슬롯에 중계기가 전송한 전력을 고려하여 전송 전력의 합을 매 전송 시간 슬롯 마다 신호원과 중계기에 다르게 분배함으로써 전송률을 증가시키는 기법을 제안하였다. 모의실험을 통해서 제안하는 전력 분배 기법이 균등 전력 분배 기법보다 성능이 우수한 것을 확인하였다.",,,,,,,10.7840/kics.2018.43.5.801,0,0,published,2018-03-26 14:11:02,2018-12-03 11:08:46,,
622,거대 배열 안테나 무선 백홀 하향 링크 시스템에서 피드백 량을 줄이기 위한 빔 형성 방법,article,bibcvtDJ021,"박재범, 권기림, 박현철",,1226-4717,,2016-12-01,0000-00-00,,,한국통신학회논문지,41,12,1903-1913,,,,,,,,,,,,,,,,,,0,0,published,2017-04-19 14:32:52,2017-04-19 14:32:52,,
621,MIMO-OFDM 시스템에서 에너지 효율성을 위한 기계 학습 기반 적응형 전송 기술 및 Feature Space 연구,article,bibcvtDJ020,"오명석, 김기범, 박현철",,1226-3133,,2016-05-01,0000-00-00,,,한국전자파학회논문지,27,5,407-415,,,,,,,,,,,,,,,,,,0,0,published,2017-04-19 14:32:52,2017-04-19 14:32:52,,
620,동일대역 전이중 방식 통신 시스템에서 자기간섭 제거에 따른 성능 분석,article,bibcvtDJ019,"왕우완, 박현철",,1226-4717,,2016-03-01,0000-00-00,,,한국통신학회논문지,41,3,331-337,,,,,,,,,,,,,,,,,,0,0,published,2017-04-19 14:32:51,2017-04-19 14:32:51,,
619,투영 행렬을 이용한 사용자 선택 기법,article,bibcvtDJ018,"김기범, 김진우, 박현철",,1226-4717,,2015-07-01,0000-00-00,,,한국통신학회논문지,40,7,1257-1265,,,,,,,,,,,,,,,,,,0,0,published,2017-04-19 14:32:51,2017-04-19 14:32:51,,
