pub_id,title,type,bibtex,author,editor,isbn,url,date,urldate,booktitle,issuetitle,journal,volume,number,pages,publisher,address,edition,chapter,institution,organization,school,series,crossref,abstract,howpublished,key,techtype,comment,note,image_url,doi,is_isbn,rel_page,status,added,modified,use_capabilites,import_id
1151,군용 무인기 기반의 혼합형 네트워크에서 통신두절확률 감소를 위한 군용 무인기 기동 제어방법 및 장치,patent,박현철2025,"박현철, 지정주",,,,2025-01-23,0000-00-00,,,,,10-2761590-0000,,,,,,,,,,,,,,,,"등록 번호: 10-2761590-0000, 등록 일자: 2025-01-23",,,1,0,published,2025-02-18 15:51:18,2025-02-18 15:51:18,,0
1127,다중 무인항공기를 활용한 통합 감지 및 통신 시스템에서의 무인항공기 자원 및 경로 최적화 장치 및 방법,patent,박현철2024,"박현철, 김선용",,,,2024-12-09,0000-00-00,,,,,10-2024-0182018,,,대한민국,,,,,,,,,,,,,"출원번호: 10-2024-0182018, 출원일: 2024-12-09",,,1,0,published,2025-02-18 15:22:51,2025-02-18 15:22:51,,0
1128,다중 모달 학습 기반 주파수 분할 이중화 거대 배열 다중 입출력 하향링크 채널 추정 방법 및 시스템,patent,박현철2024b,,"박현철, 권진만",,,2024-11-18,0000-00-00,,,,,10-2024-0163869,,,,,,,,,,,,,,,,"출원번호: 10-2024-0163869 , 출원일: 2024-11-18",,,1,0,published,2025-02-18 15:24:41,2025-02-18 15:24:41,,0
1129,OTFS 기반 ISAC 시스템을 위한 송신 파형 설계 방법 및 센싱 기술,patent,박현철2024c,"박현철, 한준희",,,,2024-11-18,0000-00-00,,,,,10-2024-0163938,,,,,,,,,,,,,,,,"출원 번호: 10-2024-0163938, 출원 일자: 2024-11-18",,,1,0,published,2025-02-18 15:25:26,2025-02-18 15:25:26,,0
1130,MIMO 레이더를 이용한 물체 추적 시스템의 확률 분포 기반 강건한 신호 설계 기법,patent,박현철2024d,"박현철, 지정주, 김현우",,,,2024-11-18,0000-00-00,,,,,10-2024-0164300,,,,,,,,,,,,,,,,"출원 번호: 10-2024-0164300, 출원 일자: 2024-11-18",,,1,0,published,2025-02-18 15:26:06,2025-02-18 15:26:06,,0
1131,근거리장 통신-센싱 통합 시스템을 위한 신호 설계 및 확장 표적 센싱 기법과 그 시스템,patent,박현철2024e,"박현철, 황민영",,,,2024-11-15,0000-00-00,,,,,10-2024-0162793,,,,,,,,,,,,,,,,"출원 번호: 10-2024-0162793, 출원 일자: 2024-11-15",,,1,0,published,2025-02-18 15:27:22,2025-02-18 15:27:22,,0
1132,모바일 엣지 컴퓨팅을 위한 지연 최소화 및 드롭아웃 비율 최소화 방법과 시스템,patent,박현철2024f,"박현철, 이승훈, 홍나경",,,,2024-11-15,0000-00-00,,,,,10-2024-0162995,,,,,,,,,,,,,,,,"출원 번호: 10-2024-0162995, 출원 일자: 2024-11-15",,,1,0,published,2025-02-18 15:28:00,2025-02-18 15:28:00,,0
1133,다중 모달 학습 기반 주파수 분할 이중화 거대 배열 다중 입출력 하향링크 채널 추정 방법,patent,박현철2024g,"박현철, 권진만",,,,2024-11-13,0000-00-00,,,,,10-2024-0160626,,,,,,,,,,,,,,,,"출원 번호: 10-2024-0160626, 출원 일자: 2024-11-13",,,1,0,published,2025-02-18 15:29:15,2025-02-18 15:29:15,,0
1134,근거리장 통신-센싱 통합 시스템을 위한 신호 설계 및 확장 표적 센싱 기법과 그 시스템,patent,박현철2024h,"박현철, 황민영",,,,2024-11-12,0000-00-00,,,,,10-2024-0160270,,,,,,,,,,,,,,,,"출원 번호: 10-2024-0160270, 출원 일자: 2024-11-12",,,1,0,published,2025-02-18 15:29:51,2025-02-18 15:29:51,,0
1135,유사도 기반 텍스트 그룹화와 연속 전송 기법,patent,박현철2024i,"박현철, 이승훈",,,,2024-11-11,0000-00-00,,,,,10-2024-0159353,,,,,,,,,,,,,,,,"출원 번호: 10-2024-0159353, 출원 일자: 2024-11-11",,,1,0,published,2025-02-18 15:30:31,2025-02-18 15:30:31,,0
1136,OTFS 기반 ISAC 시스템을 위한 송신 파형 설계 방법 및 센싱 기술,patent,박현철2024j,"박현철, 한준희",,,,2024-11-08,0000-00-00,,,,,10-2024-0157565,,,,,,,,,,,,,,,,"출원 번호: 10-2024-0157565, 출원 일자: 2024-11-08",,,1,0,published,2025-02-18 15:31:23,2025-02-18 15:31:23,,0
1178,Computer system for maximizing wireless energy harvesting using intelligent reflecting surface and method thereof,patent,Park2024,"Hyuncheol Park, Minyoung Hwang",,,,2024-11-05,0000-00-00,,,,,12136823,,,,,,,,,,,,,,,,"등록 번호: 12136823, 등록 일자: 2024-11-05",,,1,0,published,2025-02-18 16:10:22,2025-02-18 16:10:22,,0
